,username,accountname,peer follower,follower,time on Twitter
211,@philosopher70,Gregory B. Sadler - get your shots!,245,9698,12
212,@evantthompson,Evan Thompson,243,7849,7
213,@tommie_shelby,Tommie Shelby,243,5256,11
214,@StevenFrench4,Steven Strike! Strike!! Strike!!! French,243,2035,9
215,@arichardson_phi,Alan Richardson,242,3524,7
216,@LucyFOBrien,Lucy  O'Brien,242,1567,13
217,@ETVPod,Embrace the Void Pod,241,9461,5
218,@pgodfreysmith,Peter Godfrey-Smith,241,4678,1
219,@bioethicsbarbie,Jaime Valentine,240,4119,10
220,@lonanglo,Simon Glendinning,240,3765,10
221,@johnschwenkler,John Schwenkler,239,2132,3
222,@crookedfootball,Chris Bertram,237,7482,12
223,@kristopherGphil,kristopher g phillips,237,1792,7
224,@Mattjope,Matt Jope,237,1526,11
225,@kevin_dorst,Kevin Dorst,236,2989,2
226,@JustinSkirry,Justin Skirry,236,2918,2
227,@judge_jen,Jenny Judge,235,2862,10
228,@grantmaxwell,Grant Maxwell,234,25623,9
229,@tim_elmo,Quantified Modal Schopenhauer,234,3299,2
230,@PhilosopherLiam,Liam Shields,234,2789,12
231,@brettkarlan,Brett Karlan,234,2593,12
232,@RIngthorss,R.D. Ingthorsson,234,2064,7
233,@drcolleenmurphy,Colleen Murphy,233,5003,6
234,@filosofemas,Eros Carvalho,232,2750,12
235,@olivertraldi,Oliver Traldi,231,17470,5
236,@docfreeride,"Dr. Janet D. Stemwedel, PhD 🏳️‍🌈",231,14789,13
237,@newsphilosophy,Alexis Papazoglou,231,7897,6
238,@CornelWest,Cornel West,230,1055548,13
239,@Atticist,Atticist,230,16661,10
240,@Mark_Jago,Mark Jago 💙,230,2781,10
241,@phlqddh,Daniel D. Hutto,230,2721,9
242,@cajames4,Christine James,230,2404,11
243,@tPhilosophia,dPhilosopher,229,8895,12
244,@alabalawhiskey,Jessie Munton (she / her),229,1617,10
245,@DavidLSmith_Iam,David L. Smith,228,3501,11
246,@byrd_nick,Nick Byrd,228,3494,10
247,@ProfWiddows,Heather Widdows,228,3086,8
248,@KieranSetiya,Kieran Setiya,227,3503,5
249,@amandakbryant,Amanda Bryant,227,2551,7
250,@DrCarolHay,Carol Hay,227,2150,8
251,@ShannonVallor,Shannon Vallor,226,14898,11
252,@Davoh,Dave O'Hara,226,4580,13
253,@jonathantallant,Jonathan Tallant,226,2502,12
254,@JeremyJWaldron,Jeremy Waldron,225,15012,9
255,@haicinnamon,Haixin Dang,225,1448,12
256,@jonathanwebber,Jonathan Webber,224,2760,12
257,@donatellado,Donatella Donati,224,2262,10
258,@JennySaul1,Jenny Saul,224,1293,9
259,@davidwebster,David Webster,223,5715,13
260,@CharacterGap,Christian Miller,223,3617,4
261,@smatthewliao,S. Matthew Liao,223,2643,12
262,@ajcotnoir,A. J. Cotnoir,223,2058,12
263,@LedermanHarvey,Harvey Lederman,223,1615,2
264,@alexxguss,Alexandra Gustafson,222,3794,1
265,@taylorwcyr,Taylor Cyr,222,1578,10
266,@JoeSlater87,Joe Slater,222,1535,10
267,@philosofemme,Kate Kirkpatrick,221,4883,7
268,@leydonhardy,Lauren Leydon-Hardy,221,1030,7
269,@MisakCheryl,Cheryl Misak,220,2079,3
270,@wileyprof,Colin Allen,220,1550,7
271,@El_Dritch,Elizabeth Hannon,220,1169,10
272,@ericlinuskaplan,ericlinuskaplan,219,6186,14
273,@MCoeckelbergh,Mark Coeckelbergh,218,8925,7
274,@vernon_w_cisney,ᗪᗴᒪᑌᗴᔕ ᑕᒪᑌᗴᔕ,218,7311,3
275,@ttahko,Tuomas Tahko,218,2304,11
276,@EllyVintiadis,Elly Vintiadis,218,2154,13
277,@GiadaFra_tanto,Giada Fratantonio,218,1662,8
278,@beckyphilmath,Becky Morris,218,1601,7
279,@SimoneWebbUCL,Simone Webb,217,3942,5
280,@kristinamusholt,Kristina Musholt 🇺🇦,217,1767,11
281,@LynneTirrell,Dr. Lynne Tirrell,217,1687,10
282,@Ema_SB,Ema Sullivan-Bissett,217,1505,12
283,@rochellehd,Rochelle d,216,4924,10
284,@freganmitts,Megan Fritts,216,3162,4
285,@cpavese19,carlotta pavese,216,1340,6
286,@AnnaCiaunica,Anna Ciaunica,215,6700,5
287,@kelleher_,Paul Kelleher,215,3853,12
288,@Ale1808,Alessandra Tanesini,215,1425,13
289,@schafer_karl,Karl Schafer,215,1346,7
290,@MorganKThomp,Morgan Thompson,215,1097,4
291,@evanewashington,Evan Washington,214,5753,11
292,@contrarianp,David V. Johnson,214,5192,13
293,@goldwasser_seth,Seth Goldwasser,214,1338,2
294,@ashcroftethics,Richard Ashcroft,213,8865,10
295,@Plural_truth,Michael Lynch,213,3003,9
296,@JohnProtevi,John Protevi,213,2927,11
297,@KennethLPearce,Kenny Pearce,213,1975,1
298,@jdriver350,Julia Driver,213,1090,7
299,@Docstockk,Kathleen Stock,212,85543,6
300,@RrrichardZach,Richard Zach,212,3509,14
301,@oohlah,Joe Ulatowski 🇺🇦 🕊,212,1419,13
302,@SoulPhysics,Bryan Roberts 🏳️‍🌈️,211,2132,12
303,@SvenNyholm,Sven Nyholm,210,3972,5
304,@sabrina_p_leeds,Big PhD Energy (aka No Energy),210,3131,1
305,@MetaEpistemic,Alejandro Vázquez M.,210,2094,11
